Calculating reading plan...
book, book chapters, book words, book time, chapter, chapter words, chapter time
Ps, 150, 43738, 146, 22, 591, 2
Ps, 150, 43738, 146, 23, 122, 1
Ps, 150, 43738, 146, 24, 182, 1
Ps, 150, 43738, 146, 25, 346, 2
Ps, 150, 43738, 146, 26, 187, 1
Ps, 150, 43738, 146, 27, 344, 2
Ps, 150, 43738, 146, 28, 205, 1
Ps, 150, 43738, 146, 29, 183, 1
Ps, 150, 43738, 146, 30, 243, 1
Ps, 150, 43738, 146, 31, 506, 2
Ps, 150, 43738, 146, 32, 246, 1
Ps, 150, 43738, 146, 33, 350, 2
Ps, 150, 43738, 146, 34, 365, 2
Ps, 150, 43738, 146, 35, 568, 2
Ps, 150, 43738, 146, 36, 236, 1
Ps, 150, 43738, 146, 37, 706, 3
Ps, 150, 43738, 146, 38, 369, 2
Ps, 150, 43738, 146, 39, 281, 1
Ps, 150, 43738, 146, 40, 408, 2
Ps, 150, 43738, 146, 41, 248, 1
Ps, 150, 43738, 146, 42, 290, 1
Ps, 150, 43738, 146, 43, 130, 1
Ps, 150, 43738, 146, 44, 461, 2
Ps, 150, 43738, 146, 45, 343, 2
Ps, 150, 43738, 146, 46, 217, 1
Ps, 150, 43738, 146, 47, 154, 1
Ps, 150, 43738, 146, 48, 238, 1
Ps, 150, 43738, 146, 49, 348, 2
Ps, 150, 43738, 146, 50, 404, 2
Ps, 150, 43738, 146, 51, 344, 2
Ps, 150, 43738, 146, 52, 194, 1
Ps, 150, 43738, 146, 53, 163, 1
Ps, 150, 43738, 146, 54, 136, 1
Ps, 150, 43738, 146, 55, 446, 2
Ps, 150, 43738, 146, 56, 241, 1
Ps, 150, 43738, 146, 57, 246, 1
Ps, 150, 43738, 146, 58, 226, 1
Ps, 150, 43738, 146, 59, 358, 2
Ps, 150, 43738, 146, 60, 244, 1
Ps, 150, 43738, 146, 61, 143, 1
Ps, 150, 43738, 146, 62, 238, 1
Ps, 150, 43738, 146, 63, 206, 1
Ps, 150, 43738, 146, 64, 192, 1
Ps, 150, 43738, 146, 65, 277, 1
Ps, 150, 43738, 146, 66, 335, 2
Ps, 150, 43738, 146, 67, 121, 1
Ps, 150, 43738, 146, 68, 708, 3
Ps, 150, 43738, 146, 69, 680, 3
Ps, 150, 43738, 146, 70, 114, 1
Ps, 150, 43738, 146, 71, 471, 2
Ps, 150, 43738, 146, 72, 373, 2
Ps, 150, 43738, 146, 73, 427, 2
Ps, 150, 43738, 146, 74, 416, 2
